country,temperature_celsius
Afghanistan,17.2875
Albania,20.25
Algeria,24.6875
Andorra,11.1875
Angola,22.125
Antigua and Barbuda,28.6875
Argentina,13.5
Armenia,21.5625
Australia,9.0
Austria,16.5625
Azerbaijan,23.09375
Bahamas,29.86875
Bahrain,34.0625
Bangladesh,28.18125
Barbados,28.5625
Belarus,12.5625
Belgium,17.21875
Belize,29.25
Benin,25.625
Bhutan,11.81875
Bolivia,23.609375
Bosnia and Herzegovina,15.125
Botswana,16.08125
Brazil,31.1625
Brunei Darussalam,26.0625
Bulgaria,18.310416666666665
Burkina Faso,26.53125
Burundi,22.26875
Cambodia,27.1875
Cameroon,17.73125
Canada,21.9375
Cape Verde,26.9375
Central African Republic,23.7875
Chad,26.55
Chile,12.75
China,22.125
Comoros,21.75
Congo,25.46875
Costa Rica,22.6875
Croatia,16.375
Cuba,29.8125
Cyprus,24.875
Czech Republic,16.625
Democratic Republic of Congo,25.4875
Denmark,15.8125
Djibouti,33.0
Dominica,28.21875
Dominican Republic,28.6875
Ecuador,14.30625
Egypt,28.5625
El Salvador,28.4375
Equatorial Guinea,24.54375
Eritrea,18.81875
Estonia,14.25
Ethiopia,14.04375
Fiji Islands,26.6875
Finland,13.875
France,19.9375
Gabon,25.475
Gambia,26.0
Georgia,20.4375
Germany,15.5625
Ghana,25.25
Greece,24.4375
Grenada,29.1875
Guatemala,22.3875
Guinea,26.54375
Guinea-Bissau,25.8625
Guyana,27.75
Haiti,30.14375
Honduras,27.6125
Hungary,15.75
Iceland,9.28125
India,28.01875
Indonesia,22.772093023255817
Iran,26.375
Iraq,31.75
Ireland,14.0625
Israel,26.6875
Italy,21.375
Jamaica,31.3125
Japan,28.25
Jordan,24.4375
Kazakhstan,10.875
Kenya,17.4125
Kiribati,28.8375
Kuwait,35.25
Kyrghyzstan,16.40625
Latvia,14.0625
Lebanon,27.8125
Lesotho,10.91875
Liberia,24.89375
Liechtenstein,16.625
Lithuania,14.3125
Luxembourg,16.8125
Macedonia,18.125
Madagascar,16.659375
Malawi,18.5375
Malaysia,25.9375
Maldives,27.2625
Mali,25.0
Malta,23.8125
Marshall Islands,30.14375
Mauritania,28.09375
Mauritius,21.8125
Mexico,22.3125
Micronesia,29.3125
Monaco,22.75
Mongolia,9.4375
Montenegro,22.5
Morocco,19.6875
Mozambique,19.675
Myanmar,25.49375
Namibia,16.28125
Nepal,21.75
Netherlands,17.8125
New Zealand,14.125
Nicaragua,31.50625
Niger,29.25
Nigeria,24.4375
North Korea,21.33125
Norway,12.8125
Oman,30.0
Pakistan,26.5375
Palau,27.6875
Panama,28.4375
Papua New Guinea,26.64375
Paraguay,29.53125
Peru,18.5875
Philippines,27.1875
Poland,15.75
Portugal,19.5
Qatar,34.1875
Romania,19.9375
Russia,12.93125
Rwanda,19.9375
Saint Kitts and Nevis,29.125
Saint Lucia,28.5625
Saint Vincent and the Grenadines,28.99375
Samoa,30.0625
San Marino,19.6875
Saudi Arabia,31.875
Senegal,27.6375
Serbia,18.875
Seychelles Islands,26.65625
Sierra Leone,25.65
Singapore,27.5625
Slovakia,16.625
Slovenia,14.125
Solomon Islands,28.2625
Somalia,24.79375
South Africa,14.625
South Korea,23.0625
Spain,20.3125
Sri Lanka,25.91875
Sudan,29.234375
Suriname,27.925
Swaziland,13.31875
Sweden,14.0625
Switzerland,15.3125
Syria,22.3125
Tajikistan,20.1875
Tanzania,19.51875
Thailand,26.59375
Timor-Leste,25.860000000000003
Tonga,25.0625
Trinidad and Tobago,28.25
Tunisia,24.25
Turkey,20.625
Turkmenistan,23.0625
Tuvalu,30.779999999999998
Uganda,20.5
Ukraine,15.16875
United Arab Emirates,33.625
United Kingdom,17.6875
United States of America,26.31875
Uruguay,12.5
Uzbekistan,19.6875
Vanuatu,25.41875
Vatican City,21.375
Venezuela,29.3125
Vietnam,26.75
Yemen,19.0125
Zambia,19.48125
Zimbabwe,15.8
